

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.009  000.009: --- NVIM STARTING ---
000.142  000.133: event init
000.265  000.123: early init
000.334  000.069: locale set
000.383  000.049: init first window
000.840  000.457: inits 1
000.856  000.016: window checked
000.862  000.006: parsing arguments
001.733  000.159  000.159: require('vim.shared')
001.947  000.078  000.078: require('vim._meta')
001.951  000.212  000.134: require('vim._editor')
001.954  000.433  000.062: require('vim._init_packages')
001.956  000.661: init lua interpreter
002.024  000.068: expanding arguments
002.104  000.080: inits 2
002.553  000.450: init highlight
002.554  000.001: waiting for UI
003.241  000.687: done waiting for UI
003.250  000.009: init screen for UI
003.327  000.077: init default mappings
003.335  000.008: init default autocommands
003.867  000.032  000.032: sourcing /usr/share/nvim/runtime/ftplugin.vim
003.968  000.032  000.032: sourcing /usr/share/nvim/runtime/indent.vim
004.679  000.120  000.120: require('packer.util')
004.699  000.612  000.491: require('packer')
005.205  000.146  000.146: require('packer.log')
005.207  000.268  000.122: require('packer.async')
005.405  000.076  000.076: require('packer.result')
005.406  000.199  000.123: require('packer.jobs')
005.409  000.671  000.204: require('packer.plugin_utils')
005.551  000.138  000.138: require('packer.snapshot')
005.724  001.715  000.294: require('plugins')
006.223  000.269  000.269: require('gruvbox-baby.hsluv')
006.612  000.388  000.388: require('gruvbox-baby.theme')
006.615  000.765  000.107: require('gruvbox-baby.util')
006.617  000.805  000.040: require('gruvbox-baby')
006.677  000.059  000.059: require('gruvbox-baby.config')
006.787  000.108  000.108: require('gruvbox-baby.colors')
007.420  001.626  000.654: sourcing /home/jordanrhea/.local/share/nvim/site/pack/packer/start/gruvbox-baby/colors/gruvbox-baby.vim
007.946  000.334  000.334: require('gruvbox-baby.theme')
007.950  000.428  000.094: require('gruvbox-baby.util')
007.951  000.464  000.037: require('gruvbox-baby')
007.993  000.041  000.041: require('gruvbox-baby.config')
008.054  000.060  000.060: require('gruvbox-baby.colors')
008.485  001.018  000.453: sourcing /home/jordanrhea/.local/share/nvim/site/pack/packer/start/gruvbox-baby/colors/gruvbox-baby.vim
008.563  002.838  000.194: require('settings')
008.607  000.042  000.042: require('autocmds')
008.669  000.021  000.021: require('config.keymap_binds')
008.689  000.004  000.004: require('vim.keymap')
009.142  000.534  000.510: require('keymaps')
009.440  000.056  000.056: require('lsp-zero.presets')
009.640  000.031  000.031: require('lsp-zero.settings')
009.644  000.203  000.172: require('lsp-zero.server')
009.648  000.470  000.211: require('lsp-zero')
010.358  000.065  000.065: require('cmp.utils.debug')
010.575  000.104  000.104: require('cmp.utils.char')
010.581  000.221  000.117: require('cmp.utils.str')
010.632  000.050  000.050: require('cmp.utils.pattern')
011.000  000.124  000.124: require('cmp.utils.misc')
011.050  000.048  000.048: require('cmp.utils.buffer')
011.130  000.079  000.079: require('cmp.utils.api')
011.134  000.425  000.174: require('cmp.utils.keymap')
011.137  000.504  000.079: require('cmp.utils.feedkeys')
011.243  000.105  000.105: require('cmp.utils.async')
011.410  000.050  000.050: require('cmp.types.cmp')
011.531  000.120  000.120: require('cmp.types.lsp')
011.568  000.036  000.036: require('cmp.types.vim')
011.569  000.247  000.041: require('cmp.types')
011.625  000.055  000.055: require('cmp.utils.cache')
011.628  000.384  000.081: require('cmp.context')
012.173  000.197  000.197: require('cmp.config.mapping')
012.489  000.170  000.170: require('cmp.config.compare')
012.491  000.315  000.146: require('cmp.config.default')
012.500  000.662  000.149: require('cmp.config')
012.894  000.127  000.127: require('cmp.matcher')
012.898  000.396  000.269: require('cmp.entry')
012.902  001.273  000.215: require('cmp.source')
013.072  000.052  000.052: require('cmp.utils.event')
013.389  000.043  000.043: require('cmp.utils.options')
013.393  000.203  000.161: require('cmp.utils.window')
013.395  000.299  000.095: require('cmp.view.docs_view')
013.714  000.070  000.070: require('cmp.utils.autocmd')
013.719  000.323  000.254: require('cmp.view.custom_entries_view')
013.871  000.151  000.151: require('cmp.view.wildmenu_entries_view')
013.984  000.112  000.112: require('cmp.view.native_entries_view')
014.065  000.079  000.079: require('cmp.view.ghost_text_view')
014.071  001.169  000.152: require('cmp.view')
014.095  004.118  000.346: require('cmp.core')
014.194  000.043  000.043: require('cmp.config.sources')
014.240  000.045  000.045: require('cmp.config.window')
014.265  004.491  000.286: require('cmp')
014.267  004.559  000.067: require('cmp_nvim_lua')
014.388  000.119  000.119: require('lsp-zero.installer')
014.557  000.064  000.064: require('mason-core.path')
014.564  000.117  000.053: require('mason.settings')
014.787  000.086  000.086: require('mason-core.functional')
014.894  000.033  000.033: require('mason-core.functional.data')
014.896  000.102  000.069: require('mason-core.functional.function')
